Player,AVG,GP-GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"R. Price, HU ",.289 ,28-25 ,83 ,13 ,24 ,5 ,1 ,2 ,12 ,37 ,.446 ,3 ,0 ,5 ,2 ,.314 ,0 ,3 ,1-1 
"R. Lusk, SWOSU ",.288 ,22-20 ,52 ,7 ,15 ,4 ,0 ,0 ,4 ,19 ,.365 ,10 ,1 ,15 ,0 ,.413 ,0 ,0 ,2-2 
"McAlexander, SAU ",.288 ,24-21 ,59 ,10 ,17 ,2 ,1 ,0 ,9 ,21 ,.356 ,4 ,1 ,17 ,0 ,.344 ,0 ,2 ,1-1 
"J. De Hart, HSU ",.286 ,36-35 ,77 ,12 ,22 ,3 ,0 ,2 ,13 ,31 ,.403 ,11 ,1 ,13 ,1 ,.382 ,0 ,1 ,1-1 
"C. Sarver, SOSU ",.286 ,27-22 ,63 ,7 ,18 ,5 ,0 ,1 ,11 ,26 ,.413 ,3 ,0 ,12 ,0 ,.318 ,0 ,2 ,1-1 
"A. Haessly, SNU ",.286 ,17-4 ,14 ,2 ,4 ,2 ,0 ,0 ,3 ,6 ,.429 ,0 ,0 ,2 ,1 ,.286 ,0 ,3 ,1-1 
"Stott, Jaciee, ECU ",.286 ,32-4 ,14 ,9 ,4 ,0 ,0 ,0 ,2 ,4 ,.286 ,2 ,0 ,4 ,0 ,.375 ,0 ,0 ,2-3 
"K. Corn, NWOSU ",.280 ,10-7 ,25 ,2 ,7 ,1 ,1 ,0 ,3 ,10 ,.400 ,1 ,0 ,3 ,1 ,.296 ,1 ,0 ,0-0 
"E. Simmons, SOSU ",.278 ,30-23 ,79 ,13 ,22 ,4 ,0 ,6 ,20 ,44 ,.557 ,13 ,0 ,11 ,0 ,.376 ,1 ,0 ,0-0 
"J. Merrett, OUA ",.275 ,38-25 ,80 ,4 ,22 ,4 ,0 ,0 ,13 ,26 ,.325 ,3 ,0 ,11 ,1 ,.298 ,1 ,1 ,2-2 
"R. Carey, HSU ",.273 ,19-14 ,33 ,5 ,9 ,3 ,0 ,0 ,4 ,12 ,.364 ,0 ,0 ,7 ,0 ,.273 ,0 ,2 ,1-1 
"Riley Drake, ATU ",.273 ,12-6 ,22 ,0 ,6 ,3 ,0 ,0 ,4 ,9 ,.409 ,1 ,1 ,9 ,0 ,.333 ,0 ,0 ,0-0 
"Dani Lindsey, ATU ",.265 ,26-24 ,68 ,8 ,18 ,6 ,2 ,0 ,12 ,28 ,.412 ,8 ,3 ,13 ,0 ,.358 ,2 ,0 ,2-2 
"A. Low, NWOSU ",.264 ,34-21 ,53 ,10 ,14 ,1 ,0 ,0 ,3 ,15 ,.283 ,4 ,0 ,19 ,0 ,.316 ,0 ,1 ,2-2 
"Lillee Mahan, ATU ",.263 ,38-23 ,80 ,16 ,21 ,4 ,1 ,1 ,5 ,30 ,.375 ,4 ,1 ,18 ,0 ,.306 ,0 ,5 ,5-6 
"L. Danielson, HU ",.261 ,37-17 ,69 ,6 ,18 ,2 ,2 ,1 ,15 ,27 ,.391 ,1 ,0 ,14 ,0 ,.271 ,0 ,3 ,2-3 
"K. Walker, UAM ",.261 ,26-15 ,46 ,9 ,12 ,3 ,1 ,1 ,6 ,20 ,.435 ,4 ,1 ,18 ,0 ,.333 ,0 ,2 ,4-4 
"Sharlee Jackson, ATU ",.261 ,12-9 ,23 ,0 ,6 ,0 ,0 ,0 ,1 ,6 ,.261 ,2 ,0 ,2 ,0 ,.320 ,0 ,3 ,0-0 
"T. Melton, OUA ",.261 ,13-10 ,23 ,0 ,6 ,0 ,0 ,0 ,1 ,6 ,.261 ,3 ,0 ,10 ,0 ,.346 ,0 ,1 ,0-0 
"E. Apodaca, UAM ",.258 ,38-21 ,62 ,16 ,16 ,4 ,0 ,1 ,4 ,23 ,.371 ,7 ,1 ,16 ,0 ,.343 ,0 ,2 ,6-7 
"M. Stewart, SNU ",.256 ,30-9 ,43 ,3 ,11 ,3 ,0 ,1 ,11 ,17 ,.395 ,4 ,0 ,6 ,0 ,.313 ,1 ,1 ,0-0 
"Aidan Gorton, ATU ",.255 ,27-18 ,55 ,4 ,14 ,1 ,0 ,1 ,15 ,18 ,.327 ,6 ,1 ,8 ,3 ,.323 ,3 ,1 ,0-0 
"Bingham, Emily, ECU ",.255 ,29-22 ,55 ,7 ,14 ,1 ,0 ,1 ,4 ,18 ,.327 ,12 ,0 ,14 ,0 ,.388 ,0 ,3 ,0-0 
"I. Olivares, SOSU ",.250 ,34-14 ,60 ,4 ,15 ,3 ,0 ,0 ,8 ,18 ,.300 ,5 ,0 ,6 ,1 ,.308 ,0 ,0 ,0-1 
"E. Scales, OUA ",.250 ,19-15 ,36 ,3 ,9 ,0 ,0 ,1 ,4 ,12 ,.333 ,4 ,1 ,13 ,0 ,.341 ,0 ,3 ,1-1 
"Power, Jacey, ECU ",.250 ,11-7 ,24 ,5 ,6 ,0 ,0 ,0 ,2 ,6 ,.250 ,7 ,2 ,5 ,0 ,.455 ,0 ,1 ,0-0 
"Bordwine, OKB ",.250 ,7-0 ,4 ,1 ,1 ,0 ,0 ,1 ,3 ,4 ,1.000 ,2 ,0 ,0 ,0 ,.500 ,0 ,0 ,0-0 
"T. Davis, UAM ",.250 ,24-1 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,1 ,.250 ,2 ,0 ,3 ,0 ,.500 ,0 ,0 ,0-0 
"J. Golden, HSU ",.243 ,37-29 ,74 ,14 ,18 ,2 ,0 ,2 ,11 ,26 ,.351 ,4 ,8 ,15 ,0 ,.349 ,0 ,1 ,4-4 
"T. Turner, HU ",.242 ,46-19 ,62 ,16 ,15 ,2 ,1 ,0 ,6 ,19 ,.306 ,3 ,0 ,8 ,0 ,.277 ,0 ,5 ,7-7 
"A. Bryce, HU ",.239 ,23-14 ,46 ,4 ,11 ,4 ,1 ,0 ,5 ,17 ,.370 ,6 ,2 ,5 ,0 ,.345 ,1 ,0 ,2-2 
"Kacie Gibbins, ATU ",.237 ,28-22 ,59 ,4 ,14 ,5 ,0 ,0 ,8 ,19 ,.322 ,7 ,4 ,6 ,0 ,.357 ,0 ,6 ,2-2 
"M. Fraley, HU ",.236 ,36-31 ,89 ,7 ,21 ,2 ,1 ,0 ,9 ,25 ,.281 ,6 ,0 ,11 ,0 ,.284 ,0 ,2 ,2-2 
"Arissa Harrish, ATU ",.234 ,36-27 ,64 ,11 ,15 ,0 ,2 ,0 ,3 ,19 ,.297 ,7 ,0 ,20 ,0 ,.310 ,0 ,3 ,4-4 
"J. Albiter, HSU ",.234 ,19-16 ,47 ,6 ,11 ,1 ,0 ,0 ,7 ,12 ,.255 ,4 ,1 ,8 ,0 ,.308 ,0 ,2 ,1-1 
"G. Sanchez, NWOSU ",.233 ,23-12 ,30 ,10 ,7 ,1 ,0 ,2 ,8 ,14 ,.467 ,5 ,1 ,11 ,0 ,.361 ,0 ,2 ,2-2 
"Roberts, OKB ",.231 ,27-3 ,13 ,7 ,3 ,1 ,0 ,0 ,2 ,4 ,.308 ,1 ,0 ,3 ,0 ,.267 ,1 ,1 ,2-2 
"Campos, OKB ",.228 ,41-30 ,79 ,11 ,18 ,2 ,1 ,2 ,14 ,28 ,.354 ,11 ,2 ,9 ,1 ,.333 ,1 ,4 ,0-0 
"M. Riley, SNU ",.225 ,40-14 ,40 ,17 ,9 ,1 ,1 ,0 ,6 ,12 ,.300 ,3 ,0 ,6 ,0 ,.279 ,0 ,1 ,7-7 
"A. Beck, SOSU ",.224 ,29-14 ,49 ,4 ,11 ,2 ,0 ,1 ,10 ,16 ,.327 ,3 ,6 ,13 ,0 ,.345 ,0 ,0 ,0-0 
"Abigail Lochala, ATU ",.221 ,33-32 ,77 ,4 ,17 ,3 ,0 ,0 ,16 ,20 ,.260 ,10 ,1 ,13 ,0 ,.311 ,2 ,2 ,0-0 
"S. Stopp, NWOSU ",.213 ,26-17 ,47 ,5 ,10 ,2 ,0 ,0 ,8 ,12 ,.255 ,6 ,4 ,18 ,0 ,.351 ,0 ,1 ,0-0 
"A. Tittle, NWOSU ",.212 ,24-11 ,33 ,3 ,7 ,0 ,0 ,0 ,1 ,7 ,.212 ,3 ,0 ,10 ,0 ,.278 ,0 ,1 ,1-1 
"S. Clausen, SAU ",.212 ,26-16 ,52 ,8 ,11 ,2 ,0 ,1 ,8 ,16 ,.308 ,4 ,1 ,16 ,0 ,.281 ,0 ,0 ,1-1 
