Player,AVG,GP-GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"Zoe Lott, ATU ",.077 ,30-2 ,13 ,5 ,1 ,0 ,0 ,0 ,0 ,1 ,.077 ,2 ,0 ,5 ,0 ,.200 ,0 ,0 ,2-2 
"S. Farris, NWOSU ",.077 ,10-5 ,13 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,.077 ,0 ,0 ,8 ,0 ,.077 ,0 ,0 ,0-0 
"B. Reed, SAU ",.071 ,23-4 ,14 ,4 ,1 ,0 ,0 ,1 ,1 ,4 ,.286 ,1 ,0 ,7 ,0 ,.133 ,0 ,0 ,3-3 
"K.Fomby-Bell, OUA ",.056 ,22-10 ,18 ,5 ,1 ,0 ,0 ,0 ,0 ,1 ,.056 ,0 ,0 ,13 ,0 ,.056 ,0 ,0 ,1-1 
"S. Clark, NWOSU ",.000 ,4-1 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,4 ,0 ,.000 ,0 ,1 ,0-0 
"A. Reams, OUA ",.000 ,10-6 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,1 ,0 ,4 ,0 ,.143 ,0 ,1 ,0-0 
"J. Jones, HSU ",.000 ,5-1 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,1 ,2 ,0 ,.143 ,0 ,0 ,0-0 
"K. Richardso, UAM ",.000 ,37-1 ,5 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,4-4 
"Lauren Blankenship, ATU ",.000 ,16-1 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,1 ,.000 ,0 ,0 ,0-0 
"D. Raile, NWOSU ",.000 ,16-0 ,4 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,1-1 
"K. Rodriguez, SOSU ",.000 ,26-3 ,4 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,5-7 
"G. Stanley, SNU ",.000 ,18-0 ,4 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,1 ,0 ,1 ,0 ,.200 ,0 ,0 ,2-2 
"Bonehill, OKB ",.000 ,6-0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,1 ,0 ,3 ,0 ,.200 ,0 ,0 ,0-0 
"Demi Lindsey, SAU ",.000 ,9-1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,0-0 
"Kate Faber, SAU ",.000 ,4-0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,0-0 
"C. Delaney, SWOSU ",.000 ,4-1 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,1 ,0 ,3 ,0 ,.200 ,0 ,0 ,0-0 
"H. Hunter, OUA ",.000 ,3-3 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,0-0 
"E. Love, OUA ",.000 ,7-3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,0-0 
"M. Denofrio, HSU ",.000 ,7-2 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,1 ,0 ,1 ,0 ,.250 ,0 ,0 ,0-0 
"J. Holland, HSU ",.000 ,19-4 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,0 ,.000 ,0 ,0 ,0-0 
"L. Wincheste, SOSU ",.000 ,3-0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"L. Spoon, UAM ",.000 ,1-0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"M. Amaya, OUA ",.000 ,24-2 ,3 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2-3 
"K. Morton, SWOSU ",.000 ,3-2 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,2 ,0 ,0 ,0 ,.400 ,0 ,0 ,0-0 
"J. Marwitz, SOSU ",.000 ,3-0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"R. Lance, SOSU ",.000 ,3-0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"L. Miller, HSU ",.000 ,3-0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"E.Bonvillain, OUA ",.000 ,4-2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,1 ,0 ,1 ,0 ,.333 ,0 ,0 ,0-0 
"B. Jones, HSU ",.000 ,11-0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-1 
"E. Duniven, SAU ",.000 ,14-0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"J. Worthingt, SNU ",.000 ,1-0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"N. Dodson, SNU ",.000 ,34-0 ,1 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,5-8 
"M. Southerla, SNU ",.000 ,1-0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0-0 
"J. Rios, SOSU ",.000 ,1-0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"N. Rector, SAU ",.000 ,3-0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"M. Geeslin, SOSU ",.000 ,1-0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"HerrNeckar, Lauren, ECU ",.000 ,2-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"O'Brien, Taryn, ECU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"Lillian Sapp, ATU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"Lexi Gunter, ATU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"L. Bratcher, SWOSU ",.000 ,2-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"C. Hill, SWOSU ",.000 ,1-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"A. Walsworth, SOSU ",.000 ,3-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"K. Jones, NWOSU ",.000 ,2-2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"Jaycee McKee, ATU ",.000 ,1-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"E. Mosley, HSU ",.000 ,2-1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"Garner, Amera, ECU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"Addy Ward, ATU ",.000 ,2-0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"\, OKB ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"K. Batchelor, OUA ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"J. Galindo, OUA ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"C. Simms, SAU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"M. Pogue, SAU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0
"Brooklyn Haney, ATU ",.000 ,32-0 ,0 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,4-5 
"Belen Sanchez, ATU ",.000 ,18-0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1-1 
"I. Caro, NWOSU ",.000 ,2-2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"Ava Dunn, SAU ",.000 ,34-0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,3-3 
"Spence, Taylor, ECU ",.000 ,1-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
"F. Kelley, SWOSU ",.000 ,16-0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-1 
"K. Brand, SNU ",.000 ,13-0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1-2 
"S. Philips, HU ",.000 ,2-0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0-0 
